residual,phi1_L8Bo,phi3_Donor,phi2_o-Xylene
5.068431316045e-29,0.425546316559107,0.430295102536771,0.144158580904122
5.068431316045e-29,0.826817295340151,2.9028310203569e-05,0.173153676349645
1.28682935164178e-29,0.4224232479591,0.425979681753918,0.151597070286982
1.28682935164178e-29,0.818084643589395,3.11656751171413e-05,0.181884190735488
2.46519032881566e-31,0.4193737498844,0.421717608119724,0.158908641995877
2.46519032881566e-31,0.809523593192956,3.34604149775063e-05,0.190442946392067
3.20474742746036e-30,0.416393356383597,0.417505663865208,0.166100979751195
3.20474742746036e-30,0.801124465338822,3.59241173585597e-05,0.19883961054382
1.27203820966888e-29,0.413477965913017,0.413340872158015,0.173181161928968
1.27203820966888e-29,0.792878355684473,3.8569223031428e-05,0.207083075092496
2.6131017485446e-30,0.410623805338831,0.409220471999862,0.180155722661306
2.6131017485446e-30,0.784777056045199,4.14090887856868e-05,0.215181534866016
9.86076131526265e-31,0.407827397941651,0.40514189617383,0.187030705884519
9.86076131526265e-31,0.776812985216909,4.44580548761293e-05,0.223142556728215
7.88860905221012e-31,0.405085534971962,0.401102751827179,0.193811713200859
7.88860905221012e-31,0.768979127790616,4.77315174356629e-05,0.230973140691948
1.62702561701834e-30,0.402395250347259,0.397100803334449,0.200503946318293
1.62702561701834e-30,0.761268979955329,5.12460062199949e-05,0.238679774038451
3.94430452610506e-31,0.399753798124517,0.393133957137629,0.207112244737853
3.94430452610506e-31,0.75367650141418,5.50192680766859e-05,0.246268479317743
2.46519032881566e-31,0.397158632422578,0.389200248303015,0.213641119274407
2.46519032881566e-31,0.746196072650935,5.90703565600616e-05,0.253744856992505
9.86076131526265e-31,0.394607389507067,0.385297828572434,0.220094781920499
9.86076131526265e-31,0.738822456885009,6.34197281445006e-05,0.261114123386846
2.02145606962884e-30,0.392097871784824,0.381424955718008,0.226477172497168
2.02145606962884e-30,0.731550766139982,6.8089345521942e-05,0.268381144514496
1.57772181044202e-30,0.389628033485851,0.377579984036404,0.232791982477745
1.57772181044202e-30,0.724376430926605,7.3102788505227e-05,0.27555046628489
0,0.387195967838055,0.373761355842066,0.239042676319879
0,0.717295173107565,7.84853730972904e-05,0.282626341519337
9.86076131526265e-31,0.384799895564253,0.369967593837306,0.245232510598441
9.86076131526265e-31,0.710302981566981,8.42642793274627e-05,0.289612754153691
1.42981039071308e-30,0.38243815455226,0.366197294255412,0.251364551192329
1.42981039071308e-30,0.703396090358681,9.04686885004028e-05,0.296513440952818
3.57788060778216e-25,0.380109190567406,0.36244912068738,0.257441688745214
3.57788060778216e-25,0.696570959049912,9.71299305507199e-05,0.303331911019537
5.71924156285234e-30,0.377811548891646,0.358721798501185,0.263466652607169
5.71924156285234e-30,0.689824254997545,0.000104281642247369,0.310071463360207
3.3526588471893e-30,0.375543866792906,0.355014109823792,0.269442023383302
3.3526588471893e-30,0.683152837385248,0.000111959937046693,0.316735202677706
1.28189897098414e-29,0.37330486672997,0.351324888963132,0.275370244306897
1.28189897098414e-29,0.676553742757749,0.000120203587451805,0.3233260536548
2.027372526418e-28,0.371093350222244,0.34765301828175,0.281253631496006
2.027372526418e-28,0.670024171960795,0.000129054220799157,0.329846773818405
5.12759588393658e-30,0.368908192312539,0.343997424439099,0.287094383248362
5.12759588393658e-30,0.663561478297005,0.000138556529460948,0.336299965173534
7.29696337329436e-30,0.366748336564612,0.340357074976697,0.292894588458691
7.29696337329436e-30,0.657163156785945,0.000148758496524804,0.34268808471753
9.86076131526265e-31,0.36461279054258,0.336730975207875,0.298656234249545
9.86076131526265e-31,0.650826834411939,0.000159711638090336,0.34901345394997
1.59744333307255e-29,0.362500621726229,0.333118165384602,0.304381212889169
1.59744333307255e-29,0.644550261263851,0.000171471263406089,0.355278267472742
2.40602576092409e-29,0.360410953821338,0.329517718112719,0.310071328065943
2.40602576092409e-29,0.638331302477381,0.000184096754160458,0.361484600768459
1.12925438582388e-27,0.35834296342926,0.32592873599403,0.31572830057671
1.12925438582388e-27,0.632167930904853,0.000197651864336893,0.36763441723081
1.35881290924319e-28,0.35629587704416,0.322350349473062,0.321353773482777
1.35881290924319e-28,0.626058220442781,0.000212205042147563,0.373729574515071
1.77493703674728e-30,0.354268968350078,0.318781714873905,0.326949316776017
1.77493703674728e-30,0.620000339960456,0.000227829775671099,0.379771830263873
3.94430452610506e-31,0.352261555793357,0.315222012606851,0.332516431599792
3.94430452610506e-31,0.613992547771845,0.000244604963939777,0.385762847264215
2.73340303659081e-28,0.350273000408842,0.311670445534552,0.338056554056605
2.73340303659081e-28,0.608033186607098,0.000262615315349975,0.391704198077552
3.4877512772084e-27,0.348302703881176,0.308126237486267,0.343571058632557
3.4877512772084e-27,0.602120679042766,0.000281951775407741,0.397597369181826
1.97215226305253e-30,0.346350106824217,0.304588631902662,0.349061261273121
1.97215226305253e-30,0.596253523346262,0.000302711985969423,0.403443764667769
4.73316543132607e-30,0.34441468726484,0.301056890616762,0.354528422118398
4.73316543132607e-30,0.590430289717084,0.000325000778296346,0.409244709504619
3.3526588471893e-30,0.342495959317766,0.297530292743462,0.359973747938772
3.3526588471893e-30,0.584649616875376,0.000348930702413282,0.415001452422211
2.36658271566304e-30,0.340593472041296,0.294008133687804,0.365398394270899
2.36658271566304e-30,0.578910208989576,0.000374622595443783,0.42071516841498
8.69719148006166e-28,0.338706808464367,0.290489724257536,0.370803467278097
8.69719148006166e-28,0.573210832911439,0.000402206191792236,0.426386960896768
1.47189612000662e-26,0.336835584777062,0.286974389875908,0.37619002534703
1.47189612000662e-26,0.567550315699069,0.000431820778253854,0.432017863522677
3.7167181549488e-27,0.334979449678405,0.283461469891677,0.381559080429918
3.7167181549488e-27,0.561927542411609,0.000463615897360642,0.43760884169103
2.96020054684185e-28,0.333138083875476,0.279950316986364,0.38691159913816
2.96020054684185e-28,0.556341454162293,0.000497752102514985,0.443160793735192
9.86076131526265e-31,0.331311199730596,0.276440296669534,0.39224850359987
9.86076131526265e-31,0.550791046410909,0.000534401768723995,0.448674551820367
9.86076131526265e-31,0.329498541052601,0.27293078685974,0.397570672087659
9.86076131526265e-31,0.545275367482324,0.000573749963028505,0.454150882554648
9.86076131526265e-31,0.327699883030642,0.269421177561601,0.402878939407757
9.86076131526265e-31,0.539793517312414,0.000615995379022088,0.459590487308564
6.50810246807335e-30,0.325915032309197,0.265910870623867,0.408174097066936
6.50810246807335e-30,0.53434464639861,0.00066135134017902,0.464994002261211
3.3526588471893e-30,0.324143827204136,0.262399279586343,0.413456893209521
3.3526588471893e-30,0.528927954955093,0.000710046877057667,0.47036199816785
1.02551917678732e-29,0.322386138060484,0.258885829613364,0.418728032326152
1.02551917678732e-29,0.523542692263645,0.000762327883818716,0.475694979852536
7.43501403170804e-29,0.320641867753628,0.255369957516278,0.423988174730094
7.43501403170804e-29,0.518188156216496,0.000818458359898292,0.480993385423605
1.94454213136979e-28,0.318910952336292,0.251851111863986,0.429237935799722
1.94454213136979e-28,0.512863693044567,0.000878721743105884,0.486257585212327
5.14534525430405e-28,0.317193361834789,0.248328753186221,0.43447788497899
5.14534525430405e-28,0.507568697230555,0.000943422340878767,0.491487880428567
1.43967115202835e-29,0.315489101198804,0.244802354268612,0.439708544532584
1.43967115202835e-29,0.502302611601419,0.0010128868669202,0.496684501531661
1.77493703674728e-30,0.313798211409906,0.24127140054667,0.444930388043423
1.77493703674728e-30,0.497064927602598,0.00108746609098083,0.501847606306421
2.30741814777146e-29,0.312120770754987,0.237735390596358,0.450143838648655
